Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
FpSSS	"Dmitriy ""FpSSS"" Sofronov (born March 16, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Дмитрий Софронов	Dmitriy Sofronov	Russia	March 16, 1998 (age 25)	Active	2019 – Present			AWPer	Insilio		FpSSSSSSS	$13,226	Global Offensive
glowiing	"Aleksandr ""glowiing"" Matsiyevich (born December 6, 1993) is a Russian professional Counter-Strike: Global Offensive player."	Александр Мациевич	Aleksandr Matsiyevich	Russia	December  6, 1993 (age 29)	Active	2018 – Present				9Pandas		glowing	$38,502	Global Offensive
gokushima	"Erkhan ""gokushima"" Bagynanov (born August 14, 2000) is a Russian professional Counter-Strike: Global Offensive player."	Эрхан Багынанов	Erkhan Bagynanov	Russia	August 14, 2000 (age 23)	Active	2021 – Present			AWPer	HOTU			$9,856	Global Offensive
Gospadarov	"Kirill ""Gospadarov"" Gospadarov (born December 7, 2000) is a Russian professional Counter-Strike: Global Offensive player."	Кирилл Госпадаров	Kirill Gospadarov	Russia	December  7, 2000 (age 22)	Active	2018 – Present			AWPer	ex-YNT			$11,253	Global Offensive
GreK	"Igor ""GreK"" Shebzukhov (born September 14, 2001) is a Russian professional Counter-Strike: Global Offensive player."	Игорь Шебзухов	Igor Shebzukhov	Russia	September 14, 2001 (age 22)	Active	2018 – Present			Rifler				$10,655	Global Offensive
groove	"Konstantin ""groove"" Pikiner (born March 2, 1983) is a Russian professional Counter-Strike: Global Offensive coach for Cloud9, and a retired professional Counter-Strike coach and player."	Константин Пикинер	Konstantin Pikiner	Russia	March  2, 1983 (age 40)	Active	2003 – 2009	2006 – 2013, 2020 – Present		Coach	Cloud9		pikiner	$21,589	Global Offensive
H4SAN4TOR	"Vladislav ""H4SAN4TOR"" Tuchin (born May 31, 2005) is a Russian professional Counter-Strike: Global Offensive player."	Владислав Тучин	Vladislav Tuchin	Russia	May 31, 2005 (age 18)	Active	2022 – Present			Rifler				$7,020	Global Offensive
hally	"Sergey ""hally"" Shavayev (born July 6, 1993) is a Russian professional Counter-Strike: Global Offensive coach for Team Spirit and former Counter-Strike player."	Сергей Шаваев	Sergey Shavayev	Russia	July  6, 1993 (age 30)	Active	2007 – 2012	2019 – Present			Team Spirit			$4,841	Global Offensive
hooch	"Dmitriy ""hooch"" Bogdanov (born March 13, 1987) is a Russian professional Counter-Strike: Global Offensive coach and broadcast analyst, as well as a retired professional Counter-Strike: Global Offensive and Counter-Strike player."	Дмитрий Богданов	Dmitriy Bogdanov	Russia	March 13, 1987 (age 36)	Active	2002 – 2019	2020 – Present			1win		hoochR, hoochRRR	$132,617	Global Offensive
hutji	"Pavel ""hutji"" Lashkov (born September 13, 1995) is a Russian professional Counter-Strike: Global Offensive player."	Павел Лашков	Pavel Lashkov	Russia	September 13, 1995 (age 28)	Active	2015 – Present			Rifler				$66,015	Global Offensive
iDISBALANCE	"Artyom ""iDISBALANCE"" Egorov (born December 17, 1996) is a Russian professional Counter-Strike: Global Offensive player."	Артём Егоров	Artyom Egorov	Russia	December 17, 1996 (age 26)	Active	2017 – Present				9Pandas			$72,001	Global Offensive
innersh1ne	"Viacheslav ""innersh1ne"" Britvin (born November 26, 1993) is a Russian professional Counter-Strike: Global Offensive coach, analyst and esports journalist. He is currently the project manager of BLIX and was formerly the content manager for SCOPE.GG and a writer for ESTNN."	Вячеслав Бритвин	Viacheslav Britvin	Russia	November 26, 1993 (age 29)	Active		2023 – Present	2019 – 2023	Coach	BetBoom Team				Global Offensive
interz	"Timofey ""interz"" Yakushin (born August 4, 2000) is a Russian professional Counter-Strike: Global Offensive player."	Тимофей Сергеевич Якушин	Timofey Sergeyevich Yakushin	Russia	August  4, 2000 (age 23)	Active	2017 – Present			support	TSM		1nterz	$519,305	Global Offensive
It's my	"Yaroslav Sergeyevich ""It's my"" Ushkov (born March 10, 1996) is a Russian professional Counter-Strike: Global Offensive player."	Ярослав Сергеевич Ушков	Yaroslav Sеrgeyevich Ushkov	Russia	March 10, 1996 (age 27)	Active	2014 – Present			In-game leader				$6,474	Global Offensive
JACKPOT	"Vladimir Yuryevich ""JACKPOT"" Dyakonov (born June 24, 1999) is a Russian professional Counter-Strike: Global Offensive player."	Владимир Юрьевич Дьяконов	Vladimir Yuryevich Dyakonov	Russia	June 24, 1999 (age 24)	Active	2017 – Present			In-game leader				$4,733	Global Offensive
Jame	"Dzhami ""Jame"" Ali (born August 23, 1998) is a Russian professional Counter-Strike: Global Offensive player who plays for Virtus.pro as the in-game leader and AWPer."	Джами Али	Dzhami Ali	Russia	August 23, 1998 (age 25)	Active	2017 – Present				Virtus.pro			$608,714	Global Offensive
Jerry	"Andrey ""Jerry"" Mekhryakov (born May 24, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Андрей Мехряков	Andrey Mekhryakov	Russia	May 24, 1998 (age 25)	Active	2016 – Present				PARIVISION			$240,512	Global Offensive
JIaYm	"Nikita ""JIaYm"" Panyushkin (born October 27, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Никита Андреевич Панюшкин	Nikita Andreyevich Panyushkin	Russia	October 27, 1998 (age 24)	Active	2017 – Present			Rifler				$7,829	Global Offensive
jmqa	"Saveliy ""jmqa"" Bragin (born April 17, 1997) is a Russian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Савелий Брагин	Saveliy Bragin	Russia	April 17, 1997 (age 26)	Active	2014 – Present						jMqA, JMQA, JMQA6479	$40,535	Global Offensive
KaiR0N-	"Aleksandr ""KaiR0N-"" Anashkin (born January 31, 2004) is a Russian professional Counter-Strike: Global Offensive player."	Aleksandr Anashkin		Russia	January 31, 2004 (age 19)	Active	2020 – Present			Rifler	BetBoom Team		KaiR0N	$32,701	Global Offensive
KENSI	"Aleksandr ""KENSI"" Gurkin (born November 13, 2001) is a Russian professional Counter-Strike: Global Offensive player."	Александр Гуркин	Aleksandr Gurkin	Russia	November 13, 2001 (age 21)	Active	2019 – Present			entry fragger	Aurora Gaming		KENSi	$101,940	Global Offensive
killmatic	"Egor ""killmatic"" Storozhok (born April 5, 2001) is a Russian professional Counter-Strike: Global Offensive player."	Егор Сторожок	Egor Storozhok	Russia	April  5, 2001 (age 22)	Active	2019 – Present			AWPer				$5,341	Global Offensive
kinqie	"Semyon ""kinqie"" Lisitsyn (born November 7, 1991) is a Russian professional Counter-Strike: Global Offensive and former Counter-Strike player."	Семён Лисицын	Semyon Lisitsyn	Russia	November  7, 1991 (age 31)	Active	2008 – Present			Rifler	MOON		knq	$34,067	Global Offensive
Koshak	"Anton ""Koshak"" Platko (born November 26, 1996) is a Russian professional Counter-Strike: Global Offensive player who most recently played for Worst Enemy. He previously resided in China from August 2018 to January 2020 where he most notably played for Invictus Gaming."	Антон Платко	Anton Platko	Russia	November 26, 1996 (age 26)	Active	2013 – Present							$6,016	Global Offensive
kr4sylya	"Anastasiya ""kr4sylya"" Khlobystina (born October 8, 2001) is a Russian professional Counter-Strike: Global Offensive player."	Анастасия Хлобыстина	Anastasiya Khlobystina	Russia	October  8, 2001 (age 22)	Active	2018 – 2021, 2023 – Present			Rifler	G2 Oya		kr4sy	$19,259	Global Offensive
Krad	"Vladislav ""Krad"" Kravchenko (born January 9, 1999) is a Russian professional Counter-Strike: Global Offensive player."	Владислав Кравченко	Vladislav Kravchenko	Russia	January  9, 1999 (age 24)	Active	2016 – Present			lurker	FORZE Esports			$173,429	Global Offensive
krecker	"Pyotr ""krecker"" Stepanov is an inactive Russian professional Counter-Strike: Global Offensive player."	Пётр Степанов	Pyotr Stepanov	Russia	January 24, 1992 (age 31)	Inactive	2014 – 2019			Rifler				$2,781	Global Offensive
Ksu	"Ksenia ""Ksu"" Volkova (born April 21, 1996) is a Russian professional Counter-Strike: Global Offensive player."	Ксения Волкова	Ksenia Volkova	Russia	April 21, 1996 (age 27)	Active	2017 – 2021, 2022 – Present			Rifler	9Pandas Fearless		ksu, KSUSHA	$27,578	Global Offensive
lamp	"Aleksandr ""lamp"" Novyy (born July 21, 1997) is a Russian professional Counter-Strike: Global Offensive player."	Александр Владимирович Новый	Aleksandr Vladimirovich Novyy	Russia	July 21, 1997 (age 26)	Active	2013 – Present			Rifler				$7,825	Global Offensive
lattykk	"Vladislav ""lattykk"" Vydrin (born July 26, 2005) is a Russian professional Counter-Strike: Global Offensive player."	Владислав Выдрин	Vladislav Vydrin	Russia	July 26, 2005 (age 18)	Active	2020 – Present			AWPer	Aurora Gaming		latt1kk	$30,968	Global Offensive
Leo	"Albert ""Leo"" Islamov (born September 30, 1991) is a Russian professional Counter-Strike: Global Offensive coach and manager. He is also a former Counter-Strike: Global Offensive and Counter-Strike player."	Альберт Исламов	Albert Islamov	Russia	September 30, 1991 (age 32)	Active	2015 – 2019	2020 – 2021, 2023 – Present						$9,091	Global Offensive
lesswill	"Dmitriy ""lesswill"" Medvedev (born April 17, 1997) is a Russian professional Counter-Strike: Global Offensive player."	Дмитрий Медведев	Dmitriy Medvedev	Russia	April 17, 1997 (age 26)	Active	2018 – Present			Rifler	LF0			$6,659	Global Offensive
liTTle	"Anatoliy ""liTTle"" Yashin (born September 15, 1988) is a Russian professional Counter-Strike: Global Offensive coach and a former professional Counter-Strike: Global Offensive and Counter-Strike player."	Анатолий Яшин	Anatoliy Yashin	Russia	September 15, 1988 (age 35)	Active	2004 – 2018	2019 – Present						$28,069	Global Offensive
lom1k	"Ivan ""lom1k"" Ovsyanik (born January 20, 2003) is a Russian professional Counter-Strike: Global Offensive player."	Иван Овсяник	Ivan Ovsyanik	Russia	January 20, 2003 (age 20)	Active	2021 – Present							$4,153	Global Offensive
m0NESY	"Ilya ""m0NESY"" Osipov (born May 1, 2005) is a Russian professional Counter-Strike: Global Offensive player who plays for G2 Esports as the AWPer."	Илья Осипов	Ilya Osipov	Russia	May  1, 2005 (age 18)	Active	2019 – Present			AWPer	G2 Esports	The Flash	m0	$401,522	Global Offensive
magixx	"Boris ""magixx"" Vorobyev (born June 3, 2003) is a Russian professional Counter-Strike: Global Offensive player for Team Spirit."	Борис Воробьев	Boris Vorobyev	Russia	June  3, 2003 (age 20)	Active	2018 – Present			lurker	Team Spirit			$223,137	Global Offensive
Magnojez	"Kirill ""Magnojez"" Rodnov (born October 14, 2004) is a Russian professional Counter-Strike: Global Offensive player."	Кирилл Роднов	Kirill Rodnov	Russia	October 14, 2004 (age 18)	Active	2021 – Present			Rifler	K23			$13,924	Global Offensive
mizu	"Dmitry ""mizu"" Kondratev (born January 23, 2004) is a Russian professional Counter-Strike: Global Offensive player."	Дмитрий Кондратьев	Dmitry Kondratev	Russia	January 23, 2004 (age 19)	Active	2020 – Present			Rifler	HOTU			$10,620	Global Offensive
MSE	"Vadim ""MSE"" Zimin (born June 20, 1987) is a Russian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player."	Вадим Зимин	Vadim Zimin	Russia	June 20, 1987 (age 36)	Active	2007 – 2016	2018 – Present		Coach			micE, mice, missE	$2,610	Global Offensive
n0rb3r7	"David ""n0rb3r7"" Daniyelyan (born March 11, 2001) is a Russian professional Counter-Strike: Global Offensive player of Armenian descent."	Давид Даниелян	David Daniyelyan	Russia	March 11, 2001 (age 22)	Active	2017 – Present			Rifler	Virtus.pro			$225,758	Global Offensive
nafany	"Vladislav ""nafany"" Gorshkov (born June 15, 2001) is a Russian professional Counter-Strike: Global Offensive player."	Владислав Горшков	Vladislav Gorshkov	Russia	June 15, 2001 (age 22)	Active	2017 – Present				BetBoom Team			$614,249	Global Offensive
Nast1a	"Anastasiya ""Nast1a"" Evdokina (born November 26, 1992) is a Russian professional Counter-Strike: Global Offensive player."	Анастасия Евдокина	Anastasiya Evdokina	Russia	November 26, 1992 (age 30)	Active	2014 – Present			Rifler				$23,121	Global Offensive
Nevar	"Aleksey ""Nevar"" Voronov (born November 11, 1995) is a Russian professional Counter-Strike: Global Offensive coach and analyst."	Aleksey Voronov		Russia	November 11, 1995 (age 27)	Active		2020 – Present	2019 – 2020		Team Spirit Female			$40	Global Offensive
NickelBack	"Aleksey ""NickelBack"" Trofimov (born July 17, 1997) is a Russian professional Counter-Strike: Global Offensive player."	Алексей Трофимов	Aleksey Trofimov	Russia	July 17, 1997 (age 26)	Active	2016 – Present				1win		NickelBack77	$171,452	Global Offensive
nitzie	"Nikita ""nitzie"" Prokhorov (born July 17, 2001) is a Russian professional Counter-Strike: Global Offensive player."	Никита Прохоров	Nikita Prokhorov	Russia	July 17, 2001 (age 22)	Active	2019 – Present			Rifler	HOTU			$7,054	Global Offensive
Norwi	"Evgeniy ""Norwi"" Ermolin (born March 20, 2001) is a Russian professional Counter-Strike: Global Offensive player."	Евгений Ермолин	Evgeniy Ermolin	Russia	March 20, 2001 (age 22)	Active	2019 – Present			Rifler	Aurora Gaming			$63,781	Global Offensive
Ou7bReaK	"Andrey ""Ou7bReaK"" Radkin (born July 11, 1992) is an inactive Russian professional Counter-Strike: Global Offensive player."	Андрей Радкин	Andrey Radkin	Russia	July 11, 1992 (age 31)	Inactive	2014 – 2019			Rifler				$187	Global Offensive
OverDrive	"Aleksey ""OverDrive"" Biryukov (born January 26, 1986) is a Russian professional Counter-Strike: Global Offensive player, coach, and former Counter-Strike player."	Алексей Бирюков	Aleksey Biryukov	Russia	January 26, 1986 (age 37)	Active	2001 – Present	2017 – Present		Coach				$14,831	Global Offensive
PASHANOJ	"Pavel ""PASHANOJ"" Legostaev (born May 21, 1994) is a Russian professional Counter-Strike: Global Offensive analyst, coach and former player."	Павел Легостаев	Pavel Legostaev	Russia	May 21, 1994 (age 29)	Active	2016 – 2022	2022 – 2023	2023 – Present	Analyst	Virtus.pro			$24,103	Global Offensive
Patsi	"Robert ""Patsi"" Isyanov (formerly known as Patsanchick) (born September 6, 2003) is a Russian professional Counter-Strike: Global Offensive player."	Роберт Исянов	Robert Isyanov	Russia	September  6, 2003 (age 20)	Active	2016 – Present			Rifler	Team Liquid		Patsanchick	$105,295	Global Offensive
Pohmel	"Kirill ""Pohmel"" Bobrik is a Russian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike player."	Кирилл Бобрик	Kirill Bobrik	Russia		Active	2005 – 2011	2020 – Present		Coach				$9,921	Global Offensive
Polt	"Vadim ""Polt"" Tsirov (born June 19, 1994) is a Russian professional Counter-Strike: Global Offensive player."	Вадим Циров	Vadim Tsirov	Russia	June 19, 1994 (age 29)	Active	2018 – Present			Rifler	Insilio			$30,151	Global Offensive
Porya	"Daniil ""Porya"" Poryadin (born June 15, 2001) is a Russian professional Counter-Strike: Global Offensive player. During the period from July 28 to August 3, 2023, Porya had requested Liquipedia to denote that he chose not to represent Russia."	Daniil Poryadin		Russia	June 15, 2001 (age 22)	Active	2018 – Present			Rifler				$18,905	Global Offensive
ProbLeM	"Dmitriy ""ProbLeM"" Martynov (born October 27, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Дмитрий Мартынов	Dmitriy Martynov	Russia	October 27, 1998 (age 24)	Active	2018 – Present			Rifler	Forward Gaming			$13,706	Global Offensive
r3salt	"Evgeniy ""r3salt"" Frolov (born February 14, 2005) is a Russian professional Counter-Strike: Global Offensive player."	Евгений Алексеевич Фролов	Evgeniy Alekseevich Frolov	Russia	February 14, 2005 (age 18)	Active	2020 – Present			Rifler	FORZE Esports			$59,515	Global Offensive
Raijin	"Konstantin ""Raijin"" Trubarov (born January 7, 2001) is a Russian professional Counter-Strike: Global Offensive player."	Константин Трубаров	Konstantin Trubarov	Russia	January  7, 2001 (age 22)	Active	2020 – Present				PARIVISION		RaijinFU	$16,429	Global Offensive
RAiLWAY	"Artyom ""RAiLWAY"" Gradovich (born November 9, 1995) is a Russian professional Counter-Strike: Global Offensive player."	Артём Градович	Artyom Gradovich	Russia	November  9, 1995 (age 27)	Active	2017 – Present							$22,213	Global Offensive
Ravenlot	"Danil ""Ravenlot"" Bikvaidze (born January 8, 2003) is a Russian professional Counter-Strike: Global Offensive player."	Данил Бикваидзе	Danil Bikvaidze	Russia	January  8, 2003 (age 20)	Active	2020 – Present			Rifler				$13,577	Global Offensive
redhide	"Danila ""redhide"" Demidov (born July 16, 1999) is a Russian professional Counter-Strike: Global Offensive player."	Данила Демидов	Danila Demidov	Russia	July 16, 1999 (age 24)	Active	2016 – Present			entry fragger			redhid3	$3,339	Global Offensive
Riley	"Aleksandra ""Riley"" Ksenzik (born February 3, 1993) is a Russian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Александра Ксензик	Aleksandra Ksenzik	Russia	February  3, 1993 (age 30)	Active	2012 – Present						Rileyzor	$8,635	Global Offensive
riskyb0b	"Maksim ""riskyb0b"" Churikov (born September 10, 2002) is a Russian professional Counter-Strike: Global Offensive player."	Максим Чуриков	Maksim Churikov	Russia	September 10, 2002 (age 21)	Active	2020 – Present			Rifler	CYBERSHOKE Esports		riskyboy	$5,436	Global Offensive
rommi	"Roman ""rommi"" Golubev (born April 8, 1993) is a Russian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Роман Голубев	Roman Golubev	Russia	April  8, 1993 (age 30)	Active	2010 – Present			lurker				$9,253	Global Offensive
RuFire	"Aleksey ""RuFire"" Burakov (born July 18, 1995) is a Russian professional Counter-Strike: Global Offensive player."	Алексей Бураков	Aleksey Burakov	Russia	July 18, 1995 (age 28)	Active	2015 – Present			In-game leader	AsianBALLS			$4,776	Global Offensive
S0tF1k	"Dmitriy ""S0tF1k"" Forostyanko (born September 29, 1994) is a Russian professional Counter-Strike: Global Offensive coach for Team Spirit Academy."	Дмитрий Форостянко	Dmitriy Forostyanko	Russia	September 29, 1994 (age 29)	Active	2015 – 2021, 2021 – Present	2021 – Present			Team Spirit Academy		SqtF1kk	$70,506	Global Offensive
s1ren	"Pavel ""s1ren"" Ogloblin (born July 16, 2002) is a Russian professional Counter-Strike: Global Offensive player."	Павел Оглоблин	Pavel Ogloblin	Russia	July 16, 2002 (age 21)	Active	2018 – Present			Rifler	BetBoom Team			$65,839	Global Offensive
SasukeQO	"Nikolay ""SasukeQO"" Zhukov (born November 7, 1999) is a Russian professional Counter-Strike: Global Offensive player."	Николай Жуков	Nikolay Zhukov	Russia	November  7, 1999 (age 23)	Active	2020 – Present			Rifler				$3,430	Global Offensive
seized	"Denis ""seized"" Kostin (born September 9, 1994) is a Russian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Денис Валерьевич Костин	Denis Valeryevich Kostin	Russia	September  9, 1994 (age 29)	Active	2009 – Present				9Pandas		seizedwf	$356,993	Global Offensive
SELLTER	"Ivan ""SELLTER"" Miroshnikov (born February 4, 2003) is a Russian professional Counter-Strike: Global Offensive player."	Иван Мирошников	Ivan Miroshnikov	Russia	February  4, 2003 (age 20)	Active	2018 – Present			Rifler	Aurora Gaming			$34,520	Global Offensive
sh1nejezzz	"Maksim ""sh1nejezzz"" Vinogradov (born September 5, 2005) is a Russian professional Counter-Strike: Global Offensive player."	Максим Виноградов	Maksim Vinogradov	Russia	September  5, 2005 (age 18)	Active	2020 – Present			Rifler	CYBERSHOKE Esports		sh1ne, Sh1ne	$5,470	Global Offensive
sh1ro	"Dmitriy ""sh1ro"" Sokolov (born July 15, 2001) is a Russian professional Counter-Strike: Global Offensive player who plays for Cloud9 as the AWPer."	Дмитрий Эдуардович Соколов	Dmitriy Eduardovich Sokolov	Russia	July 15, 2001 (age 22)	Active	2018 – Present			AWPer	Cloud9		SH1R0, SHIRO, SH1RO, sh1ro1769	$632,931	Global Offensive
shalfey	"Aleksandr ""shalfey"" Marenov (born June 8, 2002) is a Russian professional Counter-Strike: Global Offensive player for FORZE Esports."	Александр Маренов	Aleksandr Marenov	Russia	June  8, 2002 (age 21)	Active	2018 – Present			In-game leader	FORZE Esports			$100,879	Global Offensive
Sindi	"Tatyana ""Sindi"" Gracheva (born January 16, 1997) is a Russian professional Counter-Strike: Global Offensive player and former Counter-Strike player. She recently worked for Hard Legion Esports as the Chief Executive Officer."	Татьяна Грачёва	Tatyana Gracheva	Russia	January 16, 1997 (age 26)	Active	2012 – Present							$2,118	Global Offensive
SMA4L3Y	"Artyom ""SMA4L3Y"" Smoliy (formerly known as hiji) (born February 26, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Артём Смолий	Artyom Smoliy	Russia	February 26, 1998 (age 25)	Active	2017 – Present			AWPer			hiji	$7,968	Global Offensive
SP1NT	"Gleb ""SP1NT"" Gorelov (born December 29, 1999) is a Russian professional Counter-Strike: Global Offensive player."	Глеб Горелов	Gleb Gorelov	Russia	December 29, 1999 (age 23)	Active	2017 – Present			Rifler	LF0			$9,103	Global Offensive
spaze	"Ivan ""spaze"" Obrezhan (born May 28, 1997) is a Russian professional Counter-Strike: Global Offensive player."	Иван Обрежан	Ivan Obrezhan	Russia	May 28, 1997 (age 26)	Active	2012 – Present							$19,316	Global Offensive
speed4k	"Anton ""speed4k"" Titov (born June 4, 1996) is a Russian professional Counter-Strike: Global Offensive player."	Антон Титов	Anton Titov	Russia	June  4, 1996 (age 27)	Active	2018 – Present							$37,532	Global Offensive
spiker	"Alexander ""spiker"" Ivanov (born June 4, 1994) is a Russian professional Counter-Strike: Global Offensive player."	Александр Иванов	Alexander Ivanov	Russia	June  4, 1994 (age 29)	Active	2013 – 2017, 2018 – Present							$15,085	Global Offensive
sstiNiX	"Dmitry ""sstiNiX"" Khlebnikov (born November 1, 2004) is a Russian professional Counter-Strike: Global Offensive player."	Дмитрий Хлебников	Dmitry Khlebnikov	Russia	November  1, 2004 (age 18)	Active	2020 – Present			Rifler	FORZE Esports			$12,609	Global Offensive
svyat	"Svyatoslav ""svyat"" Dovbakh (born November 7, 1994) is a Russian-Ukrainian professional Counter-Strike: Global Offensive player."	Святослав Довбах	Svyatoslav Dovbakh	Ukraine	November  7, 1994 (age 28)	Active	2015 – Present							$30,978	Global Offensive
swiftsteel	"Nurgun ""swiftsteel"" Avvakumov (born September 29, 1993) (formerly known as kuunso) is a Russian professional Counter-Strike: Global Offensive player."	Ньургун Аввакумов	Nurgun Avvakumov	Russia	September 29, 1993 (age 30)	Active	2020 – Present			In-game leader	HOTU		ss	$10,064	Global Offensive
t4tty	"Tatyana ""t4tty"" Vorontsova (born August 18, 1994) is a Russian professional Counter-Strike: Global Offensive player."	Татьяна Воронцова	Tatyana Vorontsova	Russia	August 18, 1994 (age 29)	Active	2015 – Present			Rifler	9Pandas Fearless			$21,803	Global Offensive
tonyblack	"Anton ""tonyblack"" Kolesnikov (formerly known as kibaken) (born November 26, 1992) is a Russian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player."	Антон Колесников	Anton Kolesnikov	Russia	November 26, 1992 (age 30)	Active	2010 – 2021	2022 – Present		Coach	9Pandas Fearless		kibaken, kiba	$35,833	Global Offensive
tory	"Viktoria ""tory"" Kazieva (born June 5, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Виктория Казиева	Viktoria Kazieva	Russia	June  5, 1998 (age 25)	Active	2017 – Present			Rifler	Nigma Galaxy Female			$63,883	Global Offensive
tr3vl	"Ilya ""tr3vl"" Globa (born March 26, 1998) is a Russian professional Counter-Strike: Global Offensive player. On May 17, 2017, tr3vl and his team, Hala Ares, were disqualified from CIS Minor Krakow 2017 Closed Qualifier due to naumoFF's VAC ban.  A year later, on November 1, 2018, tr3vl received a Valve Anti-Cheat (VAC) ban for Counter-Strike: Global Offensive.  Following this ban he is not allowed to play in any Valve-sponsored Global Offensive tournament."	Илья Глоба	Ilya Globa	Russia	March 26, 1998 (age 25)	VAC Banned	2014 – Present			Rifler			RhYthm, trevl, tr9vl, Rhythm	$3,234	Global Offensive
TRAVIS	"Aleksandr ""TRAVIS"" Timkiv (born December 3, 1997) is a Russian professional Counter-Strike: Global Offensive player. He currently plays for 1win."	Александр Тимкив	Aleksandr Timkiv	Russia	December  3, 1997 (age 25)	Active	2017 – Present			Rifler	1win			$91,484	Global Offensive
tricky	"Mikhail ""tricky"" Krutov (born November 21, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Михаил Крутов	Mikhail Krutov	Russia	November 21, 1998 (age 24)	Active	2017 – Present						trickyy	$7,268	Global Offensive
TruNiQ	"Danila ""TruNiQ"" Polumordvinov (born March 23, 2004) is a Russian professional Counter-Strike: Global Offensive player."	Данила Полумордвинов	Danila Polumordvinov	Russia	March 23, 2004 (age 19)	Active	2020 – Present			Rifler	Team Space			$10,275	Global Offensive
TsaGa	"Rustam ""TsaGa"" Tsagolov (born January 10, 1991) is a Russian professional Counter-Strike: Global Offensive coach and analyst."	Рустам Цаголов	Rustam Tsagolov	Russia	January 10, 1991 (age 32)	Active		2017 – Present	2016		Forward Gaming				Global Offensive
twenty3	"Alexandra ""twenty3"" Timonina (born May 31, 2001) is a Russian professional Counter-Strike: Global Offensive player who currently plays for Nigma Galaxy Female. She currently resides in Estonia."	Александра Тимонина	Alexandra Timonina	Russia	May 31, 2001 (age 22)	Active	2019 – Present			Rifler	Nigma Galaxy Female		tweNty	$63,748	Global Offensive
Twiksar	"Nikita ""Twiksar"" Bulygin (born September 4, 1998) is a Russian professional Counter-Strike: Global Offensive player."	Никита Булыгин	Nikita Bulygin	Russia	September  4, 1998 (age 25)	Active	2017 – Present				GHR E-Sports			$12,059	Global Offensive
V4D1M	"Vadim ""V4D1M"" Panchuk (born June 2, 1994) is a Russian professional Counter-Strike: Global Offensive coach and player."	Вадим Панчук	Vadim Panchuk	Russia	June  2, 1994 (age 29)	Active	2013 – 2021, 2022	2021 – Present					VAD1M	$7,599	Global Offensive
Vert	"Georgiy ""Vert"" Kinzyagulov (born December 4, 1999) is a Russian professional Counter-Strike: Global Offensive player."	Георгий Кинзягулов	Georgiy Kinzyagulov	Russia	December  4, 1999 (age 23)	Active	2019 – Present			Rifler	Team Space		deus666	$8,541	Global Offensive
victoria	"Victoria ""victoria"" Ukasova (born December 21, 1993) is a Russian professional Counter-Strike: Global Offensive player."	Виктория Укасова	Victoria Ukasova	Russia	December 21, 1993 (age 29)	Active	2017 – 2021, 2022 – Present				9Pandas Fearless		Victoria	$14,767	Global Offensive
vilga	"Ksenia ""vilga"" Klyuenkova (born August 3, 1991) is a Russian professional Counter-Strike: Global Offensive and former Counter-Strike player who currently plays for Nigma Galaxy Female."	Ксения Клюенкова	Ksenia Klyuenkova	Russia	August  3, 1991 (age 32)	Active	2008 – Present			entry fragger	Nigma Galaxy Female			$112,849	Global Offensive
VofkiN	"Vladimir ""VofkiN"" Shmakov is a Russian professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Владимир Шмаков	Vladimir Shmakov	Russia		Active	2006 – 2017, 2019 – Present			Rifler				$1,470	Global Offensive
waterfaLLZ	"Nikita ""waterfaLLZ"" Matveyev (born June 18, 1995) is a Russian professional Counter-Strike: Global Offensive coach and former player."	Никита Матвеев	Nikita Matveyev	Russia	June 18, 1995 (age 28)	Active	2014 – 2022	2023 – Present		Coach	Team Space		waterfallZTW, waterfall	$32,840	Global Offensive
WorldEdit	"Georgiy ""WorldEdit"" Yaskin (born October 16, 1991) is a retired Russian professional Counter-Strike: Global Offensive player and former Counter-Strike: Source player."	Георгий Яскин	Georgiy Yaskin	Russia	October 16, 1991 (age 31)	Active	2010 – 2020, 2022 – Present							$120,769	Global Offensive
X5G7V	"Daniil ""X5G7V"" Maryshev (born June 18, 2003) is a Russian professional Counter-Strike: Global Offensive player."	Даниил Марышев	Daniil Maryshev	Russia	June 18, 2003 (age 20)	Active	2018 – Present			Rifler	PARIVISION			$42,812	Global Offensive
