Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
René Madsen		Denmark	December 12, 2000 (age 22)	Active	2016 – Present			entry fragger	Heroic			$544,641	Global Offensive
Jacob Holm		Denmark		Active	2016 – Present			Rifler	Exzentriq United			$10,754	Global Offensive
Thomas Bundsbæk		Denmark	February  3, 2002 (age 21)	Active	2017 – Present				Preasy Esport			$84,319	Global Offensive
Teis Løwenstein		Denmark	February 27, 1994 (age 29)	Active	2013 – 2021, 2021 – 2022, 	2022 – Present		Coach				$1,616	Global Offensive
Tobias Theo		Denmark	March  2, 1995 (age 28)	Active	2016 – 2021	2022 – Present		Coach	MOUZ NXT			$3,035	Global Offensive
Magnus Toft		Denmark	July  9, 2002 (age 21)	Active	2018 – Present							$2,386	Global Offensive
Nicolai Amorim		Denmark	June  5, 1995 (age 28)	Inactive	2016 – 2020						torben iorden	$22,768	Global Offensive
Martin Alexander Bang Heldt		Denmark	January  7, 1990 (age 33)	Active	2007 – 2013, 2015 – 2016, 	2021 – Present		Coach	Into The Breach		spore'11	$50,775	Global Offensive
Malthe Jensen		Denmark	August 31, 1998 (age 25)	Active	2017 – 2021, 2022 – Present							$13,119	Global Offensive
Valdemar Bjørn Vangså		Denmark	June 12, 1995 (age 28)	Active	2016 – Present				TSM		v4lde	$384,494	Global Offensive
Victor Bisgaard		Denmark	August  3, 1999 (age 24)	Active	2018 – Present			In-game leader				$9,393	Global Offensive
Daniel Vorborg		Denmark	June 22, 1992 (age 31)	Active		2019 – 2020, 2022 – Present			Preasy Esport				Global Offensive
Philippe Mølgaard Ouabaid		Denmark	December 28, 1994 (age 28)	Active		2016 – Present		Coach	Sashi Academy				Global Offensive
Hemen Nawros		Denmark		Power-LAN Banned	2012 – 2018	2023 – Present		Coach	SERA Esport			$1,415	Global Offensive
Andreas Højsleth		Denmark	September 11, 1995 (age 28)	Active	2011 – Present			support	Astralis	Clutch Minister		$2,020,206	Global Offensive
Danny Selim Sørensen		Denmark	July 30, 1986 (age 37)	Active	2003 – 2012, 2015 – 2016, 	2015 2016 – Present		Coach				$115,996	Global Offensive
Rasmus Nordfoss		Denmark	February  2, 2004 (age 19)	Active	2019 – Present			lurker	Sprout		Zyph0n	$61,559	Global Offensive
Mads Hermansen		Denmark	August 13, 1998 (age 25)	Active	2017 – Present						zyp	$7,541	Global Offensive
Andreas Maasing		Estonia	January 22, 2005 (age 18)	Active	2020 – Present			Rifler	sYnck		aNdul0c0-	$847	Global Offensive
Alvar Rämman		Estonia	April 20, 1999 (age 24)	Active	2019 – Present							$4,366	Global Offensive
Egerti Kiisk		Estonia	January 15, 2002 (age 21)	Active	2019 – Present			Rifler	sYnck			$4,661	Global Offensive
Kristjan Allsaar		Estonia	September  3, 1997 (age 26)	Active	2013 – Present				sYnck		fejdon, Flash	$37,146	Global Offensive
Mario Piirisaar		Estonia	June 30, 1994 (age 29)	Inactive	2015 – 2020							$4,157	Global Offensive
Kevin Tarn		Estonia	December 15, 1996 (age 26)	Active	2015 – Present			entry fragger	ORKS			$78,108	Global Offensive
Rassim Valijev		Azerbaijan	February 18, 1995 (age 28)	Active	2015 – Present				sYnck		jyo, Jy0	$58,303	Global Offensive
Raul Edovald		Estonia		Active	2015 – Present							$1,758	Global Offensive
Robin Kool		Estonia	December 22, 1999 (age 23)	Active	2015 – Present			lurker	FaZe Clan			$1,186,327	Global Offensive
Kristjan Jakobson		Estonia	December 23, 1997 (age 25)	Inactive	2015 – 2022			entry fragger			shokzolaad	$47,800	Global Offensive
Markus Jan Martinonis		Estonia	March 31, 2001 (age 22)	Active	2016 – 2020, 2021 – Present			In-game leader			s1ckta	$3,543	Global Offensive
Mihkel Alamaa		Estonia	August  8, 1994 (age 29)	Active	2014 – 2018, 2021 – Present							$11,333	Global Offensive
Anton Tšernobai		Estonia	October  9, 2000 (age 23)	Active	2018 – Present			Rifler	GUN5 Esports			$55,918	Global Offensive
Denis Baranov		Estonia	July  8, 2002 (age 21)	Active	2018 – Present			Rifler			SwicheR	$5,790	Global Offensive
Kevin Kolomainen		Estonia	June 16, 1997 (age 26)	Active	2015 – Present			Rifler				$6,350	Global Offensive
Rene Vahu		Estonia	January 18, 2001 (age 22)	Active	2018 – Present			Rifler	sYnck			$4,398	Global Offensive
Jani Jussila		Finland	June 11, 1993 (age 30)	Active	2015 – Present			entry fragger	HAVU Gaming			$243,120	Global Offensive
Jussi Airaksinen		Finland	June 20, 1995 (age 28)	Active	2020 – Present			In-game leader	HAVU Gaming		Airax	$6,397	Global Offensive
Aleksi Antti Kaarlo Virolainen		Finland	March 30, 1997 (age 26)	Active	2015 – Present				Natus Vincere		ALEKSib, aleksi, Aleksib0b	$438,473	Global Offensive
Aleksi Jalli		Finland	May 20, 1992 (age 31)	Active	2009 – Present			AWPer	JANO Esports			$431,861	Global Offensive
Arttu Nikkilä		Finland		Active	2014 – Present			Rifler			apehehe, apeHEHE	$1,410	Global Offensive
Tony Niemelä		Finland	January 24, 1997 (age 26)	Active	2015 – Present				Heimo Esports			$41,880	Global Offensive
Joonas Rantala		Finland		Inactive	2014 – 2018							$6,087	Global Offensive
Matias Kivistö		Finland	May 15, 2004 (age 19)	Active	2017 – Present			Rifler	HAVU Gaming			$21,489	Global Offensive
Verneri Junkala		Finland	September  1, 1999 (age 24)	Active	2015 – Present			lurker				$18,692	Global Offensive
Niko Munukka		Finland	October  1, 2000 (age 23)	Active	2019 – Present			Rifler	Exen Esports		Choco	$12,879	Global Offensive
Joonas Forss		Finland	February 18, 1996 (age 27)	Active	2015 – Present			support	Ambush		dotoo	$106,746	Global Offensive
Eetu Astikainen		Finland	September  1, 2000 (age 23)	Active	2018 – Present			Rifler	VISU Gaming			$14,678	Global Offensive
Jere Nissi		Finland	March  5, 1997 (age 26)	Active	2017 – Present			Rifler	VISU Gaming			$12,940	Global Offensive
Henri Ylilehto		Finland	September  1, 2002 (age 21)	Active	2019 – Present			Rifler	ENCE Academy			$15,752	Global Offensive
Jyri Tenhunen		Finland	November  5, 1990 (age 32)	Active	2012 – Present							$3,951	Global Offensive
Joel Lentonen		Finland	May 11, 1999 (age 24)	Active	2020 – Present			Rifler	JANO Esports		Jelo, jeloh	$6,363	Global Offensive
Jemi Mäkinen		Finland		Active	2019 – Present							$33,632	Global Offensive
Jere Määttä		Finland	August 10, 2003 (age 20)	Active	2018 – Present			Rifler			JerppA	$3,960	Global Offensive
Jimi Salo		Finland	September  9, 2006 (age 17)	VAC Banned	2019 – Present			Rifler	MOUZ			$72,648	Global Offensive
Joel Aalto		Finland	June 13, 1995 (age 28)	Active	2012 – Present						jOELz, Billy Joel, Juel	$57,408	Global Offensive
Juho Lampinen		Finland	June  5, 1995 (age 28)	Active	2013 – Present			entry fragger			Juhob	$38,946	Global Offensive
Youssef Adam		Sudan	November 20, 2002 (age 20)	Active	2020 – Present			Rifler	ENCE Academy			$5,355	Global Offensive
Elden Evert		Estonia		Inactive	2007 – 2017	2017 – 2018		Coach				$1,978	Global Offensive
Topi Kauppi		Finland	May  2, 2001 (age 22)	Active	2019 – 2021, 2021 – Present			AWPer	mYinsanity			$14,789	Global Offensive
Михаил Попков	Mikhail Popkov	Russia	January  8, 1995 (age 28)	Active	2014 – Present			Rifler				$2,853	Global Offensive
Ville Vilkman		Finland	September 29, 2004 (age 19)	Active	2020 – Present				ENCE Academy			$9,796	Global Offensive
Olli Piispanen		Finland	April 28, 1998 (age 25)	Active	2017 – Present			Rifler	Heimo Esports			$9,681	Global Offensive
Eetu-Oskari Ojalainen		Finland		Inactive	2012 – 2019							$2,072	Global Offensive
Otto Sihvo		Finland	November  7, 1997 (age 25)	Active	2016 – 2020, 2022 – Present			AWPer	HAVU Gaming			$80,491	Global Offensive
Petteri Jaakkola		Finland	May 16, 1996 (age 27)	Active	2017 – 2021	2021 – 2022, 2023 – Present	2023 – Present		Rare Atom			$21,501	Global Offensive
Paavo Heiskanen		Finland	August  5, 2004 (age 19)	Active	2021 – Present			AWPer	ENCE Academy			$4,753	Global Offensive
Veeti Sirva		Finland	June  2, 2002 (age 21)	Active	2019 – Present			In-game leader	ENCE Academy			$8,111	Global Offensive
Tuomas Louhimaa		Finland	March  7, 2001 (age 22)	Active	2016 – Present			lurker			Saddyx	$34,255	Global Offensive
Samu Kylmälä		Finland		Active	2017 – Present			In-game leader				$7,901	Global Offensive
Eetu Saha		Finland	July 30, 1992 (age 31)	Active	2013 – 2019, 2019 – 2020, 	2019 2020 – Present		Coach	ENCE			$111,210	Global Offensive
Jere Salo		Finland	March  1, 2002 (age 21)	Active	2015 – 2020, 2021 – Present			AWPer			timoC	$220,755	Global Offensive
Olli Pitkänen		Finland	February 27, 1996 (age 27)	Active	2014 – Present				HAVU Gaming			$118,242	Global Offensive
Joona Holmström		Finland	December 31, 2002 (age 20)	Active	2018 – Present			Rifler	JANO Esports			$12,596	Global Offensive
Jarkko Rahja		Finland		Active	2017 – Present			AWPer				$21,061	Global Offensive
Toni Liukkonen		Finland		Active	2001 – Present			Rifler			STOVVe, stovve, STOVVE=DD	$11,863	Global Offensive
Miikka Kemppi		Finland	August 24, 1994 (age 29)	Active	2012 – Present			entry fragger	Ambush			$332,077	Global Offensive
Roope Simpanen		Finland		Inactive	2010 – 2018			AWPer				$2,880	Global Offensive
Toni Luhtapuro		Finland		Active	2005 – 2007	2017 – Present		Coach				$9,777	Global Offensive
Slaava Räsänen		Finland	June  6, 1987 (age 36)	Valve Banned	2005 – 2016, 2018	2016 – 2020, 2022 – Present	2020 – 2021		Rare Atom			$20,217	Global Offensive
Samu Leirilaakso		Finland	November 28, 1997 (age 25)	Active	2015 – Present			Rifler	HAVU Gaming			$32,075	Global Offensive
Mikko Välimaa		Finland	December 26, 1991 (age 31)	Active	2012 – 2022	2022 – Present		Coach	HAVU Gaming		xartEE, xartE[N!, xRT	$66,842	Global Offensive
Jesse Linjala		Finland	November  7, 1991 (age 31)	Active	2011 – Present						zehn, Hoitelija	$114,419	Global Offensive
Aleksi Nissinen		Finland	January 22, 1999 (age 24)	Active	2018 – Present			Rifler				$4,947	Global Offensive
Aurélien Drapier		France	June 11, 1999 (age 24)	Active	2017 – Present			AWPer	Fnatic		afroo	$47,202	Global Offensive
Anthony Munoz		France	December 29, 1996 (age 26)	Active	2013 – Present							$839	Global Offensive
François Delaunay		France	August 24, 1993 (age 30)	Active	2015 – Present						AmaNEk	$399,943	Global Offensive
Dan Madesclaire		France	February 22, 1993 (age 30)	Active	2009 – Present				Team Vitality		apx	$1,300,728	Global Offensive
Mayline-Joy Champliaud		France	September 26, 2000 (age 23)	Active	2018 – Present				NIP Impact			$8,326	Global Offensive
Aymein Bencheikh		France	April 22, 1996 (age 27)	Active		2021 – Present		Coach					Global Offensive
Marc Naoum		France	December 21, 1983 (age 39)	Active	2000 – 2010, 2021	2021 – Present		Coach				$6,871	Global Offensive
Alexandre Pianaro		France	January  8, 1997 (age 26)	Active	2013 – Present				Team Falcons			$344,718	Global Offensive
Charbel Naoum		France	September 19, 1996 (age 27)	Active	2013 – 2019, 2021 – Present			entry fragger				$9,586	Global Offensive
Hugo Di Bono		France	January 16, 2002 (age 21)	Active	2021 – Present			Rifler			broox720	$4,319	Global Offensive
Paul Niel		France	December 22, 1997 (age 25)	Active	2017 – Present			In-game leader	REDPack Esports			$11,397	Global Offensive
Timothée Démolon		France	December 11, 1994 (age 28)	Active	2014 – Present				The Dice			$72,042	Global Offensive
Давид Добросављевић	David Dobrosavljević	Serbia	November  3, 1994 (age 28)	Active	2015 – Present			Rifler	Arcadia Esport			$65,828	Global Offensive
Remi Alexandre		France	June  5, 2003 (age 20)	Active	2020 – Present			AWPer				$4,604	Global Offensive
Thomas Pavoni		France	April 16, 1997 (age 26)	Active	2017 – Present			entry fragger	Looking4Org			$46,349	Global Offensive
Etienne Salaün		France	September  9, 1998 (age 25)	Active	2019 – Present			Rifler	Arcadia Esport		Dracula35	$4,388	Global Offensive
Malik Boudjouhali		Algeria	November  1, 1995 (age 27)	Active	2017 – Present			AWPer				$4,415	Global Offensive
Florian Delearde		France	November 21, 2002 (age 20)	Active	2021 – Present			Rifler				$3,168	Global Offensive
Thibault Soulet		Tunisia		Active	2016 – Present			Rifler				$2,936	Global Offensive
Pierre Bulinge		France	February  4, 2000 (age 23)	Active	2019 – Present			Rifler	Looking4Org			$41,551	Global Offensive
Delaney Lashermes		France	January 29, 1997 (age 26)	Active	2015 – Present			Rifler			Delaney	$3,861	Global Offensive
Boris Latry		France	December 30, 1988 (age 34)	Active	2004 – 2019, 2021 – 2022, 	2020 2023 – Present		Coach	Nakama Esports			$4,609	Global Offensive
Simon Florysiak		France	August 23, 1993 (age 30)	Active	2012 – 2020			Rifler			Fuk5, simon	$23,670	Global Offensive
Filip Branković		Serbia	November  8, 2003 (age 19)	Active	2021 – Present				GenOne			$5,047	Global Offensive
Kilian Garcia		France	October 13, 1999 (age 23)	Active	2019 – Present			Rifler			Gring0	$4,643	Global Offensive
Ali Haïnouss		Morocco	November  3, 1995 (age 27)	Active	2015 – Present			Rifler	Looking4Org			$102,009	Global Offensive
Michael Zanatta		France	August 31, 1985 (age 38)	Active	2002 – 2016	2018 – 2019, 2023 – Present		Coach	Homyno Tsun			$37,645	Global Offensive
Audric Jug		France	July  7, 1992 (age 31)	Active	2009 – 2011, 2013 – Present			entry fragger	TSM		JaCkz	$417,927	Global Offensive
Steve Cohen		France	October 11, 1986 (age 37)	Active	2004 – Present			AWPer				$6,318	Global Offensive
Jérémy Nguyen		France	January 15, 1998 (age 25)	Active	2018 – Present			Rifler				$7,862	Global Offensive
Gaetan Jamin		France	April  7, 1995 (age 28)	Inactive	2017 – 2019			Rifler				$25,330	Global Offensive
Léo Intronati		France	September  8, 1992 (age 31)	Active	2014 – 2019, 2019 – Present	2019						$14,286	Global Offensive
Coline Le Floc'h		France	April 26, 1997 (age 26)	Active	2018 – Present			AWPer	FlyQuest RED	lizardo		$5,811	Global Offensive
Adrien Legarda		France	August  1, 1996 (age 27)	Active	2016 – 2023	2023 – Present		Coach	Looking4Org		killa	$713	Counter-Strike 2
Sophia Benfakir		France	January 29, 1993 (age 30)	Active	2013 – Present							$6,894	Global Offensive
Fabien Fiey		France	July 26, 1994 (age 29)	Inactive	2011 – 2021			Rifler		The Problem	kiokiNg, k19, kiobaNg, k1o, sup3rk1o	$372,786	Global Offensive
Julien Hernandez		France	November 11, 1985 (age 37)	Active	2005 – 2017	2017 – 2018, 2022 – Present	2018 – Present					$1,081	Global Offensive
Jayson Nguyen Van		France	April  2, 1999 (age 24)	Active	2019 – Present			entry fragger				$118,551	Global Offensive
Lambert Prigent		France	September 19, 1991 (age 32)	Active	2013 – 2021	2022 – Present		Coach	TSM			$37,015	Global Offensive
Jérémy Girardeau		France	February  2, 1991 (age 32)	Inactive	2011 – 2020			Rifler				$2,764	Global Offensive
Lucas Chastang		France	April  6, 1998 (age 25)	Active	2016 – Present			entry fragger	Looking4Org			$149,618	Global Offensive
Corentin Lashermes		France	September 23, 1993 (age 30)	Active	2012 – Present							$9,649	Global Offensive
Bryan Canda		France	July  6, 1997 (age 26)	Active	2016 – Present				Looking4Org		Makazin	$64,921	Global Offensive
Damien Marcel		France	February 18, 1986 (age 37)	Active	2007 – 2012, 2016	2016 – Present		Coach	Evil Geniuses		maLeKimba	$2,978	Global Offensive
Malik Khebchi		Algeria	July  7, 1993 (age 30)	Active	2016 – Present				Project 5 Esport		Mugiwara	$2,501	Global Offensive
Marion Lopez		France		Inactive	2010 – 2019							$3,996	Global Offensive
Mathieu Leber		France	November  2, 1985 (age 37)	Active	2004 – 2010, 2013 2016	2020 – Present		Assistant Coach	Team Vitality		MaT &lt;3 Sara	$25,538	Global Offensive
Matthieu Roquigny		France	May 24, 1994 (age 29)	Active	2012 – 2020	2021 – Present		Coach			matH_9}	$15,730	Global Offensive
Paul Moussajee		France	January 15, 1996 (age 27)	Inactive	2014 – 2019						METAy0	$6,811	Global Offensive
Kévin Rabier		Albania	January 15, 2003 (age 20)	Active	2017 – Present			Rifler	Into The Breach			$287,694	Global Offensive
Julie Chehab		France		Active	2015 – Present						Julie, Ju1337	$2,958	Global Offensive
Nathan Jordan Schmitt		France	June  5, 1994 (age 29)	Active	2009 – 2021, 2022 – Present			entry fragger	Team Falcons	The Kingmaker	NBK, NBKTANK, NBeardK, NBicepsK, NBKing, nathanS	$861,296	Global Offensive
Ryan Aubry		France	August  3, 2005 (age 18)	Active	2021 – Present			Rifler	MOUZ NXT			$3,931	Global Offensive
Anis Ounassar		Algeria	January 20, 1990 (age 33)	Active	2016 – Present							$3,348	Global Offensive
Matthéo Canei		France	May 28, 1999 (age 24)	Active	2016 – Present							$21,105	Global Offensive
Noah Padovan		France	May 26, 2002 (age 21)	Active	2020 – Present			Rifler			Nono2k	$4,701	Global Offensive
Steeve Flavigni		France	November 20, 1978 (age 44)	Active	2000 – 2015	2011 – 2012, 2013 2017 – Present		Coach	Team Falcons			$11,177	Global Offensive
Jordan Munck-Foehrle		France	November 16, 2001 (age 21)	Active	2019 – Present						PythonRoyal	$21,607	Global Offensive
Matthieu Mellot		France	December 18, 2001 (age 21)	Active	2019 – Present			Rifler				$3,534	Global Offensive
Fabien Poncet		France	January 21, 1995 (age 28)	Active	2014 – Present			Rifler				$5,527	Global Offensive
Robin Perret		France		Active	2016 – Present							$1,804	Global Offensive
Aymeric Petit		France	November 19, 1996 (age 26)	Active	2017 – Present			entry fragger			SoneSb, Sone_sb	$5,433	Global Offensive
Sébastien Sabbadin		France	December 16, 2001 (age 21)	Active	2017 – 2021, 2022 – Present				The Dice			$9,069	Global Offensive
Richard Papillon		France	May 27, 1992 (age 31)	Active	2006 – Present						shoxie, shoxieJESUS, SHOXxXxX, Nydilakinz, n0ctis	$847,446	Global Offensive
Christophe Xia		France	April 21, 1991 (age 32)	Active	2008 – Present						SixeR, SjXER	$300,076	Global Offensive
Edouard Dubourdeaux		France	December 17, 1988 (age 34)	Active	2005 – 2017, 2018 2023 – Present	2017 – 2018					SmithZzME, SmithZzN	$297,203	Global Offensive
Kevin Bouabdelli		France	July 11, 1990 (age 33)	Active	2015 – 2018	2022 – Present		Assistant Coach				$2,368	Global Offensive
Valentin Bartolomei		France	February 25, 1994 (age 29)	Inactive	2011 – 2020			Rifler				$22,873	Global Offensive
Benjamin Taquet		France	March 20, 1997 (age 26)	Active	2014 – Present							$14,415	Global Offensive
Damien Dufour		France	August 22, 1995 (age 28)	Active	2019 – 2021, 2022 – Present							$9,800	Global Offensive
David Garrido		France	July 15, 1987 (age 36)	Active	2005 – 2019	2015 – 2020, 2023 – Present		Coach	Team Karma			$24,009	Global Offensive
Guillaume Veron		France	July  8, 1994 (age 29)	Active	2013 – 2021, 2022 – Present			lurker	The Dice			$24,140	Global Offensive
Rémy Quoniam		France	December 23, 1988 (age 34)	Active	2009 – 2014	2014 – Present		Coach	Team Vitality			$165	Counter-Strike 2
Mathieu Herbaut		France	November  9, 2000 (age 22)	Active	2016 – Present				Team Vitality	The Chosen One, Herbus Doubledoor		$818,974	Global Offensive
